rank,node_id,betweenness,lat,lon,pct_of_total
478,18570,3658.680000,40.785922,-73.953141,0.019959
479,37699,3656.754000,40.785977,-73.953100,0.019948
480,51567,3656.538000,40.786277,-73.952879,0.019947
481,34807,3656.338000,40.786503,-73.952734,0.019946
482,20064,3655.877000,40.802855,-73.952687,0.019944
483,62762,3654.623000,40.803100,-73.952507,0.019937
484,52921,3643.716000,40.752569,-73.970204,0.019877
485,34806,3641.982000,40.786703,-73.952598,0.019868
486,51566,3641.726000,40.786967,-73.952407,0.019866
487,34810,3641.526000,40.787224,-73.952227,0.019865
488,2742,3633.824000,40.758647,-73.965796,0.019823
489,2731,3633.392000,40.748548,-73.973147,0.019821
490,60638,3632.178000,40.759218,-73.965380,0.019814
491,33859,3631.944000,40.758960,-73.965568,0.019813
492,52329,3631.754000,40.758699,-73.965758,0.019812
493,1195,3630.240000,40.749164,-73.972701,0.019804
494,2730,3629.718000,40.747935,-73.973591,0.019801
495,85,3627.074000,40.746080,-73.974939,0.019786
496,44641,3625.946000,40.749729,-73.972278,0.019780
497,73340,3625.636000,40.749630,-73.972352,0.019779
498,33855,3625.326000,40.749531,-73.972426,0.019777
499,52926,3625.016000,40.749429,-73.972503,0.019775
500,52974,3624.706000,40.749221,-73.972658,0.019774
